,name_family,name,url,alternate_url,area.id,area.name,address.raw,address.metro.station_name,type.name,schedule.name,employer,snippet.requirement,snippet.responsibility,salary.currency,salary.from,salary.to,key_skills,experience,employment,Название_региона,tech_address,score_similarity,lat,lon
892,Иван,Системный аналитик,https://api.hh.ru/vacancies/47072617?host=hh.ru,https://hh.ru/vacancy/47072617,1,Москва,"Москва, Кольцевая линия, метро Комсомольская",Комсомольская,Открытая,Полный день,STAFFMAX,"Знание методик и инструментов описания бизнес-процессов со стороны IT. Знание реляционных баз <highlighttext>данных</highlighttext> (MySQL, PG) - репликация, хранимые процедуры, индексы. ",Участвовать в интервьюировании (совместно с бизнес- аналитиками</highlighttext>) бизнес-экспертов и пользователей информационных систем на предмет изучения текущих принципов организации хода...,RUR,170000.0,250000.0,"['UML', 'Английский язык', 'MySQL', 'SQL', 'XML', 'Системный анализ', 'BPMN', 'Постановка задач разработчикам', 'Xsd', 'Моделирование бизнес процессов', 'Работа с базами данных']",От 1 года до 3 лет,Полная занятость,Москва,"Москва, Кольцевая линия, метро Комсомольская",0.05764848350683914,55.7755042,37.6562754
893,Иван,Ведущий аналитик/Функциональный архитектор 1С,https://api.hh.ru/vacancies/38994230?host=hh.ru,https://hh.ru/vacancy/38994230,1,Москва,"Москва, Рязанский проспект, 75к4",unknow,Открытая,Полный день,WiseAdvice,"Опыт работы <highlighttext>аналитиком</highlighttext> или архитектором 1С от 3-х лет. Умение ставить задачи программистам и <highlighttext>аналитикам</highlighttext>, навыки создания проектной...","Осуществление методологической поддержки проектной команды, функциональная постановка задач  аналитикам</highlighttext> и разработчикам. Контроль соответствия архитектуры системы утвержденному техническому решению, организация сквозного...",RUR,200000.0,300000.0,"['Atlassian Jira', 'Git', 'Обучение и развитие', 'Atlassian Confluence', 'UML']",От 3 до 6 лет,Полная занятость,Москва,"Москва, Рязанский проспект, 75к4",0.02579849659846656,55.7182615,37.7920714
894,Иван,Аналитик BI (главный аналитик),https://api.hh.ru/vacancies/45964154?host=hh.ru,https://hh.ru/vacancy/45964154,4,Новосибирск,unknow,Речной вокзал,Открытая,Полный день,BUSINESS STAFF,"Высшее образование: экономика, моделирование, IT. Опыт аналогичной работы от трех лет. Опыт автоматизации отчётности на Excel+VBA, Reporting Services или Power...","Анализ структуры различных источников на предмет содержащихся там данных. Формирование выгрузок данных по заданным условиям, объедение данных, визуализация, составление графиков...",RUR,110000.0,110000.0,"['Power BI', 'VBA', 'SQL', 'Анализ данных', 'Работа с большим объемом информации', 'DAX', 'MS SQL', 'MS SQL Server', 'Работа с базами данных', 'Business intelligence', 'Базы данных', 'MS Power BI', 'Oracle BI', 'Business Intelligence Systems', 'Power Pivot', 'Reporting', 'PowerBI', 'MS Visual Basic']",От 3 до 6 лет,Полная занятость,Новосибирская область,Новосибирск BUSINESS STAFF,0.08704089571298076,55.0410999,82.90668699999999
895,Иван,Аналитик BI (главный аналитик),https://api.hh.ru/vacancies/45964154?host=hh.ru,https://hh.ru/vacancy/45964154,4,Новосибирск,unknow,Речной вокзал,Открытая,Полный день,BUSINESS STAFF,"Высшее образование: экономика, моделирование, IT. Опыт аналогичной работы от трех лет. Опыт автоматизации отчётности на Excel+VBA, Reporting Services или Power...","Анализ структуры различных источников на предмет содержащихся там  данных</highlighttext>. Формирование выгрузок  данных</highlighttext> по заданным условиям, объедение  данных</highlighttext>, визуализация, составление графиков...",RUR,110000.0,110000.0,"['Power BI', 'VBA', 'SQL', 'Анализ данных', 'Работа с большим объемом информации', 'DAX', 'MS SQL', 'MS SQL Server', 'Работа с базами данных', 'Business intelligence', 'Базы данных', 'MS Power BI', 'Oracle BI', 'Business Intelligence Systems', 'Power Pivot', 'Reporting', 'PowerBI', 'MS Visual Basic']",От 3 до 6 лет,Полная занятость,Новосибирская область,Новосибирск BUSINESS STAFF,0.08704089571298076,55.0410999,82.90668699999999
896,Иван,Аналитик,https://api.hh.ru/vacancies/47074111?host=hh.ru,https://hh.ru/vacancy/47074111,4,Новосибирск,unknow,unknow,Открытая,Сменный график,Софт Нск,"Уверенный пользователь ПК. Аналитический склад ума. Способность к математическим вычислениям. Грамотная устная и письменная речь. Обучаемость, стрессоустойчивость, ответственность.",Работа со спортивной статистикой. Работа со спортивными интернет-порталами. Анализ данных.,RUR,35000.0,35000.0,"['Пользователь ПК', 'Грамотная речь', 'Грамотность', 'Работа с базами данных', 'Поиск информации в интернет']",Нет опыта,Полная занятость,Новосибирская область,Новосибирск Софт Нск,0.05000285439224962,54.998016,82.8549441
897,Иван,Аналитик,https://api.hh.ru/vacancies/47074111?host=hh.ru,https://hh.ru/vacancy/47074111,4,Новосибирск,unknow,unknow,Открытая,Сменный график,Софт Нск,"Уверенный пользователь ПК. Аналитический склад ума. Способность к математическим вычислениям. Грамотная устная и письменная речь. Обучаемость, стрессоустойчивость, ответственность.",Работа со спортивной статистикой. Работа со спортивными интернет-порталами. Анализ  данных</highlighttext>.,RUR,35000.0,35000.0,"['Пользователь ПК', 'Грамотная речь', 'Грамотность', 'Работа с базами данных', 'Поиск информации в интернет']",Нет опыта,Полная занятость,Новосибирская область,Новосибирск Софт Нск,0.05000285439224962,54.998016,82.8549441
898,Иван,Аналитик,https://api.hh.ru/vacancies/45962236?host=hh.ru,https://hh.ru/vacancy/45962236,4,Новосибирск,unknow,Речной вокзал,Открытая,Полный день,BUSINESS STAFF,"Высшее образование: экономика, моделирование. Аналогичный опыт работы от года. Знание MS Excel: сводные таблицы, VBA, Power Pivot, DAX. ","Формирование выгрузок данных по заданным условиям, составление отчетов. Анализ отклонений от плановых показателей, поиск причин отклонений. Анализ экономических результатов деятельности...",RUR,55000.0,55000.0,"['Анализ данных', 'Статистический анализ', 'VBA', 'Работа с большим объемом информации', 'SQL', 'Аналитика', 'Бизнес-анализ', 'Сводные таблицы', 'DAX', 'Power Pivot']",От 1 года до 3 лет,Полная занятость,Новосибирская область,Новосибирск BUSINESS STAFF,0.05764848350683914,55.0410999,82.90668699999999
899,Иван,Аналитик,https://api.hh.ru/vacancies/45962236?host=hh.ru,https://hh.ru/vacancy/45962236,4,Новосибирск,unknow,Речной вокзал,Открытая,Полный день,BUSINESS STAFF,"Высшее образование: экономика, моделирование. Аналогичный опыт работы от года. Знание MS Excel: сводные таблицы, VBA, Power Pivot, DAX. ","Формирование выгрузок  данных</highlighttext> по заданным условиям, составление отчетов. Анализ отклонений от плановых показателей, поиск причин отклонений. Анализ экономических результатов деятельности...",RUR,55000.0,55000.0,"['Анализ данных', 'Статистический анализ', 'VBA', 'Работа с большим объемом информации', 'SQL', 'Аналитика', 'Бизнес-анализ', 'Сводные таблицы', 'DAX', 'Power Pivot']",От 1 года до 3 лет,Полная занятость,Новосибирская область,Новосибирск BUSINESS STAFF,0.05764848350683914,55.0410999,82.90668699999999
900,Иван,Системный аналитик,https://api.hh.ru/vacancies/46819982?host=hh.ru,https://hh.ru/vacancy/46819982,4,Новосибирск,unknow,unknow,Открытая,Удаленная работа,СТАРТЕКС,"Аналитический склад ума. — Умение работать с большими объемами данных. — Умение работать в режиме многозадачности. — Базовые знания по Excel, SQL будут...",Анализ метрик и бизнес-требований. — Выявление потребностей клиентов. — Прототипирование обновленного пользовательского интерфейса на сайте. — Составление ТЗ для внедрения необходимых изменений. — ,RUR,40000.0,45000.0,"['SQL', 'Аналитическое мышление', 'HTML', 'Работа с большим объемом информации', 'MS SQL']",От 1 года до 3 лет,Полная занятость,Новосибирская область,Новосибирск СТАРТЕКС,0.05024434670127004,55.062448,82.96118899999999
901,Иван,Системный аналитик,https://api.hh.ru/vacancies/46819982?host=hh.ru,https://hh.ru/vacancy/46819982,4,Новосибирск,unknow,unknow,Открытая,Удаленная работа,СТАРТЕКС,"Аналитический склад ума. — Умение работать с большими объемами <highlighttext>данных</highlighttext>. — Умение работать в режиме многозадачности. — Базовые знания по Excel, SQL будут...",Анализ метрик и бизнес-требований. — Выявление потребностей клиентов. — Прототипирование обновленного пользовательского интерфейса на сайте. — Составление ТЗ для внедрения необходимых изменений. — ,RUR,40000.0,45000.0,"['SQL', 'Аналитическое мышление', 'HTML', 'Работа с большим объемом информации', 'MS SQL']",От 1 года до 3 лет,Полная занятость,Новосибирская область,Новосибирск СТАРТЕКС,0.05024434670127004,55.062448,82.96118899999999
