link,city,type_of_house,rooms,house
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"68 м², 2-комнатные апартаменты
МФК «Фили Град», 21 этаж из 30
Береговой проезд, 5к1
Фили 
17 мин.
28 500 000 ₽
419 118 ₽ за м²
ипотека
Номер лота: 28157. Видовые 2-комнатные апартаменты площадью 68 м с современным ремонтом (произведен в 2020 году), на 21 этаже 30 этажного монолитно-кирпичного дома, расположенного в 15 минутах ходьбы от станции метро «Фили». Высота потолков 3,0 м. Из
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"54 м², 2-комнатная квартира
2 этаж из 8
Малая Калужская улица, 8
Шаболовская 
13 мин.
22 095 000 ₽
409 167 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Лучшая цена в этом месте за двухкомнатную квартиру. Уютная двухкомнатная квартира в кирпичном доме с высокими потолками. Вся инфраструктура в шаговой доступности. Чистый подъезд. Тихо и уютно. Расположение дома менее 5 минут пешком до Нескучного
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"65,8 м², 2-комнатная квартира
новостройка, ЖК «MOD» 4 кв. 2024 г., 8 этаж из 55
СВАО, район Марьина Роща, жилой комплекс Мод
Марьина роща 
7 мин.
23 658 700 ₽
359 500 ₽ за м²
Прямая продажа жилого комплекса премиум-класса от застройщика! 2-к квартира 65.81 кв.м. в ЖК Mod на 8-м этаже 55 этажного дома. Mod - жилой комплекс премиум-класса в историческом районе Москвы Марьина Роща, состоящий из двух клубных домов (9 этажей)
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"53 м², 2-комнатная квартира
1 этаж из 7
проспект Мира, 70А
Рижская 
8 мин.
14 800 000 ₽
279 245 ₽ за м²
Хорошая цена!
ипотека
Номер лота: 31948. Вторая линия домов по Проспекту мира. Уникальная транспортная доступность. Рядом находится 3-е транспортное кольцо, метро ""Рижская"" (6 минут ходьбы) и метро ""Проспект Мира"" (10 минут ходьбы), троллейбусная остановка с большим
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
41 минуту назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"40,8 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 15 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
16 368 634 ₽
401 192 ₽ за м²
ипотека
Условный номер в1-121. На берегу Москвы-реки продается 2-к квартира площадью 40,8 кв.м. на 15 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"43,2 м², 2-комнатная квартира
4 этаж из 5
11-я Парковая улица, 39к2
Первомайская 
11 мин.
10 200 000 ₽
236 111 ₽ за м²
На проверке в Росреестре
ипотека
Номер лота: 31974. Предлагается теплая уютная 2-комнатная квартира в на 4 этаже 5-этажного кирпичного дома, расположенного в 10 минутах пешком от станций метро ""Первомайская"" и ""Щёлковская"". Окна выходят во двор. Комнаты смежные, 18 и 10,8 м. Имеется
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"42,8 м², 2-комнатная квартира
5 этаж из 5
улица Константина Царёва, 14
Войковская 
11 мин.
14 900 000 ₽
348 131 ₽ за м²
Проверено в Росреестре
ипотека
Номер лота: 28461. Предлагается 2-комнатная квартира площадью 42,8 м, на 5 этаже 5-этажного кирпичного дома, расположенного в 9 минутах пешком от станции метро «Стрешнево». Произведён полный капитальный ремонт, выстроена абсолютно новая и свежая
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"54 м², 2-комнатная квартира
новостройка, ЖК Hide 2023 г., 2 этаж из 41
1-й Сетуньский проезд, вл6
Лужники 
18 мин.
23 383 000 ₽
433 019 ₽ за м²
Прямая продажа от застройщика! Продаётся 2-к квартира 54 кв.м. с предчистовой отделкой в ЖК «Hide» на 2-м этаже 41 этажного дома. Новый архитектурный акцент города комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
42 минуты назад"
